num_features1,num_features2,num_matches,matching_efficiency,avg_matching_distance,spatial_entropy1,spatial_entropy2,detection_time,matching_time,total_time,pair_name,method
2333,2326,544,23.387790197764403,0.8123199743602205,5.989663260240396,5.9937682932983805,0.6457858085632324,0.09567618370056152,0.741461992263794,pair_005_img1_pair_005_img2,SuperPoint
2636,2540,432,17.00787401574803,0.6562525106387006,5.99571909562221,5.993312749110153,0.6834843158721924,0.1119072437286377,0.7953915596008301,pair_006_img1_pair_006_img2,SuperPoint
2415,2425,1393,57.68115942028985,0.45333772685916324,5.9928383626932975,5.9918244526839946,0.6230883598327637,0.10396194458007812,0.7270503044128418,pair_007_img1_pair_007_img2,SuperPoint
2389,2404,609,25.491837588949352,0.6817239219527722,5.992484607540454,5.994316643437413,0.6279847621917725,0.10261750221252441,0.7306022644042969,pair_008_img1_pair_008_img2,SuperPoint
2460,2630,572,23.2520325203252,0.7428988547070877,5.993655401051892,5.991708466853721,0.675316333770752,0.11583709716796875,0.7911534309387207,pair_009_img1_pair_009_img2,SuperPoint
2466,2511,585,23.722627737226276,0.7307172677965246,5.991650605618362,5.994383075610795,0.6764709949493408,0.10984992980957031,0.7863209247589111,pair_010_img1_pair_010_img2,SuperPoint
2283,2333,387,16.951379763469117,0.8336008257336087,5.988657854336251,5.986223552618091,0.6194071769714355,0.09480547904968262,0.7142126560211182,pair_011_img1_pair_011_img2,SuperPoint
2352,2504,373,15.858843537414966,0.7226887391655439,5.994100078299688,5.992965021103107,0.6878645420074463,0.10803794860839844,0.7959024906158447,pair_012_img1_pair_012_img2,SuperPoint
2455,2580,768,31.28309572301426,0.7026302103186026,5.989962434768043,5.986013951874065,0.6547019481658936,0.11514687538146973,0.7698488235473633,pair_013_img1_pair_013_img2,SuperPoint
2419,2361,535,22.65988987717069,0.8223437460783486,5.991961136134844,5.993806719257244,0.694739580154419,0.10230088233947754,0.7970404624938965,pair_014_img1_pair_014_img2,SuperPoint
2372,2381,606,25.54806070826307,0.7541564228412735,5.993827691679504,5.9920799093199415,0.6756577491760254,0.10191702842712402,0.7775747776031494,pair_015_img1_pair_015_img2,SuperPoint
2421,2424,536,22.139611730689797,0.7212352897805064,5.99181503876838,5.992111821660964,0.6867573261260986,0.10212349891662598,0.7888808250427246,pair_016_img1_pair_016_img2,SuperPoint
